Clase_0,Clase_1,Clase_2,Clase_3,Clase_4,Clase_5,Clase_6,Clase_7,Clase_8,Clase_9,Clase_10,Clase_11,Clase_12,Clase_13,Clase_14,Clase_15,Clase_16,Clase_17,Clase_18,Clase_19,Clase_20,Clase_21,Clase_22,Clase_23,Clase_24,Clase_25,Clase_26,Clase_27,Clase_28,Clase_29,Clase_30,Clase_31,Clase_32,Clase_33,Clase_34,Clase_35,Clase_36,Clase_37,Clase_38,Clase_39,Clase_40,Clase_41,Clase_42,Clase_43,Clase_44,Clase_45,Clase_46,Clase_47,Clase_48
0.8882723,0.0004204551,2.9005447e-09,4.0085015e-05,3.771675e-06,0.023656584,3.1607327e-05,0.00015227686,1.501282e-06,0.0018873345,8.382986e-06,0.006516886,7.768864e-06,3.9283128e-07,3.28724e-05,1.3896067e-05,0.00396794,3.672817e-05,3.5281826e-06,7.995003e-05,7.022721e-06,0.004705709,0.00026853292,9.3675226e-05,0.00010770247,6.7476976e-06,1.2715401e-07,0.00028073037,5.7593174e-06,0.00046404343,6.5488734e-08,0.0031530631,4.067056e-08,0.009374919,0.0042883516,1.13764445e-05,6.910992e-07,3.1568525e-05,0.00038892453,2.3406994e-05,0.0011048244,0.00029020853,0.048338506,8.884475e-07,0.0005171514,0.0013845218,1.2315507e-05,4.4393832e-06,4.3879703e-07
0.4311463,0.0002419299,0.0001519942,0.030122109,8.383409e-06,0.013564928,0.00037756984,0.00043922718,0.00038142566,0.030153874,1.5178916e-05,0.17150326,0.059079945,3.236128e-05,0.08124732,0.00032230368,0.02608427,7.2825525e-05,0.00041166105,0.024054278,0.0023540528,0.00083346386,0.0002834996,3.0810752e-05,0.0014504392,0.0018520837,2.76809e-06,8.815974e-05,0.0006434548,0.020400273,4.529239e-06,0.060595024,7.3763906e-05,0.00030550914,0.011990382,6.7382156e-05,2.467413e-06,0.0002271917,0.0049876045,0.0034643048,0.0010283143,0.002166317,0.007961067,1.2043982e-05,0.007302638,0.0016494105,0.00032720974,0.0004119894,7.284178e-05
0.04388931,0.0001367659,0.003149958,0.00018916058,7.1321147e-06,0.00719847,2.5285566e-05,0.0074576573,0.00021371567,0.441005,0.0019646932,0.17046548,0.01379691,3.5089583e-06,0.00017203338,0.0035457953,0.005972516,0.0043134983,0.015216834,0.010355744,9.5356954e-05,0.0018667842,9.23316e-05,1.9132784e-05,0.14394853,0.028749978,2.0163075e-06,5.4742133e-05,1.2383886e-05,0.0026764176,4.497984e-06,0.011819315,9.5533265e-05,0.00033088497,0.00019616891,4.119815e-06,2.8350109e-05,0.0013338346,0.019924626,0.028225917,0.0031183248,7.538904e-05,0.025871959,0.0001251912,0.0012393646,3.6841684e-05,3.233478e-05,0.0007586242,0.00018152714
0.030562839,3.188132e-07,2.3140957e-12,9.096459e-06,1.668544e-05,5.293396e-05,4.384225e-09,4.329302e-05,5.134017e-08,1.3233187e-05,4.102526e-09,5.9930603e-06,1.9419808e-09,8.9208215e-12,7.294395e-07,6.4801784e-06,3.775476e-07,0.0002949754,1.1312279e-08,3.0178268e-07,7.15105e-09,4.700267e-06,0.7706806,0.0006829763,0.004635331,4.850124e-05,7.742493e-08,2.6157742e-05,1.2538629e-06,8.485829e-06,2.3722018e-08,2.8224672e-06,8.754863e-10,0.1582632,1.8633779e-10,0.00012161262,2.906046e-07,2.7550814e-10,3.3750155e-11,6.5288674e-08,1.2260103e-06,0.008641311,0.00070380804,3.0785646e-08,0.0012429497,0.023924708,1.1274363e-09,2.5123518e-06,5.546129e-11
0.85019296,0.00056706095,3.728511e-06,0.00014779188,9.898159e-05,0.0027902778,0.00067191396,2.6913105e-05,0.004733223,0.006314799,0.000260558,0.00011306413,0.0018024194,0.00012319116,0.0013779418,0.0013994843,0.041838363,2.1875276e-05,5.4680346e-05,0.00013753022,0.007397838,0.00030521757,0.008065163,0.0016809645,0.00093922846,0.00076276565,4.237189e-05,8.319294e-06,1.4287855e-05,0.0060976082,5.2488044e-06,0.021668948,0.00029547428,0.0004396315,0.016203221,7.090767e-05,0.00013502639,3.593827e-05,0.0006959388,0.002330313,0.0009903272,0.002798766,0.00085456413,0.00028830254,0.01359432,0.001491891,7.623064e-05,4.732891e-06,2.9927973e-05
0.99829394,2.4870158e-06,3.471428e-14,1.6652395e-08,1.7924393e-08,7.0339986e-08,2.74105e-10,1.8888703e-10,5.8367835e-09,0.00020267503,1.3983129e-06,1.3028271e-07,1.262467e-08,1.2275948e-11,1.01918445e-07,0.00017558488,9.827083e-08,5.9381502e-05,1.2383486e-08,1.5031202e-07,1.1595616e-06,7.304001e-07,1.7690405e-07,3.0625597e-07,0.0010888998,4.3103879e-07,1.0422881e-06,1.3851313e-09,5.001038e-11,4.7090358e-05,8.217815e-10,1.7568587e-08,9.166368e-08,2.4200758e-06,1.1268374e-11,1.9235321e-07,2.2406198e-08,3.8637437e-11,1.1170409e-11,8.3420827e-07,7.041721e-07,6.686962e-07,1.5738373e-05,1.4390633e-07,0.0001015384,1.68652e-06,1.8664904e-10,3.945484e-11,8.7143324e-13
0.94533587,0.00011872986,6.10553e-11,0.0036649562,0.0002106323,0.004092147,1.8002318e-08,4.757381e-06,8.924071e-06,0.00015161556,2.5460452e-09,0.0009924368,4.784468e-07,1.8304037e-07,5.853258e-06,2.555902e-06,0.000748095,1.432673e-06,2.6082606e-07,3.3516114e-06,7.735878e-06,7.448832e-05,0.004625734,3.0188852e-07,1.1302544e-05,0.00020174336,6.146083e-08,7.397031e-06,2.7731605e-07,0.015977567,2.7773729e-06,0.0034597698,3.9631253e-05,0.0006504125,0.0026965549,1.2984044e-06,2.7780377e-06,2.486573e-05,3.08017e-06,1.8252476e-07,0.004695405,9.55767e-07,4.2651536e-07,2.8590134e-07,0.011975931,4.69796e-05,3.658133e-05,0.00011309732,4.9786266e-08
0.734238,0.00051708665,4.4011204e-11,0.19205254,1.565714e-06,0.00039721798,2.505643e-06,0.00035859793,1.8913539e-07,0.0012339925,1.5205805e-07,0.035079073,6.219308e-05,4.6895618e-08,1.9370613e-05,5.8760714e-05,4.703364e-05,2.0862215e-05,7.3533876e-05,0.0025320994,2.2162581e-07,0.013900964,8.823245e-06,1.4753806e-07,0.0012652271,2.0183208e-05,8.932368e-08,0.005296975,5.8191836e-07,1.3353116e-05,4.6139917e-06,0.0007114032,1.4616784e-07,0.0065815696,1.1354971e-05,1.2744955e-06,6.036221e-09,4.5263565e-05,5.9537708e-08,4.018351e-06,6.145688e-06,0.0031925961,0.00021064444,5.9528797e-06,7.940845e-05,0.0013935189,0.0005492927,1.2759745e-06,1.6179319e-09
0.19084361,0.00010586367,2.7927115e-11,0.0002555348,1.6520302e-05,0.018385418,5.283228e-06,0.00011193408,2.974169e-08,2.272222e-05,6.893688e-07,0.0019872396,8.736635e-08,1.2389522e-09,9.299532e-06,0.00010966304,4.792274e-06,0.00016323173,3.268268e-08,1.7540812e-07,3.0622547e-07,0.046725553,0.024511704,7.035818e-05,0.00028064902,1.4996987e-05,4.294089e-07,0.055965446,2.5975662e-05,0.0022570963,8.1912294e-05,0.01633823,3.1205232e-09,0.26217115,3.0814006e-06,0.0014411918,4.844015e-05,4.3410537e-07,4.0075708e-08,8.436364e-09,0.013371269,0.00033529697,0.042724356,3.871335e-06,0.017506324,0.29635903,2.1700591e-06,0.0077383597,1.1842319e-07
0.99867624,2.8136826e-06,5.9765092e-12,4.0001214e-06,1.0784262e-05,4.80176e-05,1.2554421e-09,5.7783417e-08,1.8892469e-07,0.0002395848,2.8014452e-07,4.813396e-05,2.1772657e-07,2.836935e-10,1.4424429e-05,5.9468465e-07,3.8440794e-05,2.535062e-07,5.004345e-08,2.3930767e-07,2.9503626e-06,4.8924143e-05,4.258651e-06,1.6904304e-08,1.0989592e-05,9.621495e-06,4.50318e-09,5.252991e-07,8.499555e-11,8.997678e-05,1.0669975e-08,0.0004523823,4.3837396e-08,3.4834906e-05,2.2552146e-07,3.139122e-07,1.072458e-07,1.5712953e-06,2.9500518e-07,4.7250927e-07,3.8802114e-05,1.1690914e-06,1.2718678e-05,6.92287e-08,0.00019995258,4.4765243e-06,1.6613058e-07,7.9944994e-07,7.1877546e-11
